,volatility,volume_24h,price_range_percent,is_sideways,lightning_count,liquidity_score,total_score
UNIUSDT,13.131054991520106,11166348.86,49.73252804141501,True,11,0.9183578425176728,0.7755073527553018
ICXUSDT,11.067771818625063,14134387.3,68.33484986351228,True,16,0.10960229951958933,0.5328806898558768
TRXUSDT,3.39569590137342,520242065.1,12.196048632218853,True,0,1.0,0.4018708770412026
ETHUSDT,6.930563959189631,649034.324,33.53152058472968,False,2,1.0,0.34791691877568887
ADAUSDT,7.01430178370561,204836219.0,49.356140688064585,False,1,1.0,0.33042905351116825
SOLUSDT,7.220473129564037,3231922.281,41.814876294364076,False,0,1.0,0.3166141938869211
LINKUSDT,7.64727861502055,4292385.35,43.40124003542961,False,1,0.8461310609221702,0.30325767672726744
XRPUSDT,5.0243814339895225,157774001.0,22.62288267691987,False,0,1.0,0.25073144301968564
DOTUSDT,6.7251987245699905,6774163.95,49.680306905370855,False,0,0.6667096862230943,0.201768867604028
BTCUSDT,3.1293704181675506,23362.02486,12.206236193123875,False,0,1.0,0.1938811125450265
LTCUSDT,5.046112115732374,357424.241,27.92501616031029,False,1,0.7254055474518091,0.1890050277075139
BNBUSDT,2.7485403390814533,202996.213,15.023079459281238,False,0,1.0,0.18245621017244357
VETUSDT,7.358162725693135,255934633.4,53.730542136339224,False,1,0.34241029399521317,0.14346796996935796
XLMUSDT,4.890403976041793,68530180.0,32.57918552036198,False,0,0.593258740393523,0.12468974139931069
